App,Package Name,Age-appropriate,Age
Netflix ,com.netflix.mediaclient,12+,12
FB lite,com.facebook.lite,12+,12
FB,com.facebook.katana,13+,13
Youtube,com.google.android.youtube,13+,13
Instagram,com.instagram.android,15+,15
Instagram Lite,com.instagram.lite,12+,12
Candy Crush Saga,com.king.candycrushsaga,3+,3
Twitter,com.twitter.android,12+,12
Messenger,com.facebook.orca,12+,12
Tiktok,com.ss.android.ugc.trill,12+,12
Minecraft,com.mojang.minecraftpe,7+,7
Roblox,com.roblox.client,12+,12
Grand Theft Auto: San Andreas,com.rockstargames.gtasa,18+,18
Spotify,com.spotify.music,12+,12
Music Tiles,piano.magic.tiles.challenge.music.free,3+,3
Snake.io,com.amelosinteractive.snake,3+,3
Shoppee,com.shopee.ph,18+,18
Lazada,com.lazada.android,18+,18
